City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
344,puerto carreno,6.189,-67.4859,301.14,83,40,3.09,CO,1692653129
345,abyek,36.0667,50.55,297.93,41,20,1.06,IR,1692653129
346,karratha,-20.7377,116.8463,292.76,66,0,3.82,AU,1692652707
347,bandar lampung,-5.4254,105.258,295.17,95,4,0.49,ID,1692653131
348,puerto armuelles,8.2833,-82.8667,300.14,87,100,1.79,PA,1692653132
349,silleda,42.696,-8.2465,292.65,84,18,1.09,ES,1692653134
350,aguas vermelhas,-15.7472,-41.46,295.18,71,87,1.78,BR,1692652981
351,kijang,35.2442,129.2139,298.0,82,0,1.84,KR,1692653135
352,bathurst,-33.4166,149.5806,279.16,86,100,0.8,AU,1692653136
353,smidovich,48.6,133.8167,292.13,99,100,5.0,RU,1692653137
354,gargalianoi,37.0667,21.6333,299.46,56,0,2.67,GR,1692653138
355,kaitong,44.8135,123.15,289.44,96,0,3.1,CN,1692653139
356,natal,-5.795,-35.2094,299.51,83,75,4.63,BR,1692652996
357,kavalerovo,44.2661,135.0572,294.11,99,100,1.21,RU,1692653141
358,santa quiteria do maranhao,-3.5156,-42.5467,303.52,58,97,4.93,BR,1692652947
359,anna regina,7.2644,-58.5077,301.71,74,98,5.28,GY,1692653143
360,san andres,12.5847,-81.7006,303.16,84,40,3.6,CO,1692653144
361,ocean shores,46.9737,-124.1563,297.25,73,0,7.72,US,1692653144
